number_of_mesurements
365
day	snow_density
1      0.000
2	   0.000
3	   0.000
4	   0.000
5	   0.000
6	   0.000
7	   0.000
8	   0.000
9	   0.000
10	   0.000
11	   0.000
12	   0.000
13	   0.000
14	   0.000
15	   0.000
16	   0.000
17	   0.000
18	   0.000
19	   0.000
20	   0.000
21	   0.000
22	   0.000
23	   0.000
24	   0.000
25	   0.000
26	   0.000
27	   0.000
28	   0.000
29	   0.000
30	   0.000
31	   0.000
32	   0.000
33	   0.000
34	   0.000
35	   0.000
36	   0.000
37	   0.000
38	   0.000
39	   0.000
40	   0.000
41	   0.000
42	   0.000
43	   0.000
44	   0.000
45	   0.000
46	   0.000
47	   0.000
48	   0.000
49	   0.000
50	   0.000
51	   0.000
52	   0.000
53	   0.000
54	   0.000
55	   0.000
56	   0.000
57	   0.000
58	   0.000
59	   0.000
60	   0.000
61	   0.000
62	   0.000
63	   0.000
64	   0.000
65	   0.000
66	   0.000
67	   0.000
68	   0.000
69	   0.000
70	   0.000
71	   0.000
72	   0.000
73	   0.000
74	   0.000
75	   0.000
76	   0.000
77	   0.000
78	   0.000
79	   0.000
80	   0.000
81	   0.000
82	   0.000
83	   0.000
84	   0.000
85	   0.000
86	   0.000
87	   0.000
88	   0.000
89	   0.000
90	   0.100
91	   0.100
92	   0.100
93	   0.100
94	   0.100
95	   0.100
96	   0.100
97	   0.100
98	   0.100
99	   0.100
100	   0.100
101	   0.100
102	   0.100
103	   0.100
104	   0.100
105	   0.100
106	   0.100
107	   0.100
108	   0.100
109	   0.100
110	   0.100
111	   0.100
112	   0.100
113	   0.100
114	   0.100
115	   0.100
116	   0.100
117	   0.100
118	   0.100
119	   0.100
120	   0.100
121	   0.100
122	   0.100
123	   0.100
124	   0.100
125	   0.100
126	   0.100
127	   0.100
128	   0.100
129	   0.100
130	   0.100
131	   0.100
132	   0.100
133	   0.100
134	   0.100
135	   0.100
136	   0.100
137	   0.100
138	   0.100
139	   0.100
140	   0.100
141	   0.100
142	   0.100
143	   0.100
144	   0.100
145	   0.100
146	   0.100
147	   0.100
148	   0.100
149	   0.100
150	   0.100
151	   0.100
152	   0.100
153	   0.100
154	   0.100
155	   0.100
156	   0.100
157	   0.100
158	   0.100
159	   0.100
160	   0.100
161	   0.100
162	   0.100
163	   0.100
164	   0.100
165	   0.100
166	   0.100
167	   0.100
168	   0.100
169	   0.100
170	   0.100
171	   0.100
172	   0.100
173	   0.100
174	   0.100
175	   0.100
176	   0.100
177	   0.100
178	   0.100
179	   0.100
180	   0.100
181	   0.100
182	   0.100
183	   0.100
184	   0.100
185	   0.100
186	   0.100
187	   0.100
188	   0.100
189	   0.100
190	   0.100
191	   0.100
192	   0.100
193	   0.100
194	   0.100
195	   0.100
196	   0.100
197	   0.100
198	   0.100
199	   0.100
200	   0.100
201	   0.100
202	   0.100
203	   0.100
204	   0.100
205	   0.100
206	   0.100
207	   0.100
208	   0.100
209	   0.100
210	   0.100
211	   0.100
212	   0.100
213	   0.100
214	   0.100
215	   0.100
216	   0.100
217	   0.100
218	   0.100
219	   0.100
220	   0.100
221	   0.100
222	   0.100
223	   0.100
224	   0.100
225	   0.100
226	   0.100
227	   0.100
228	   0.100
229	   0.100
230	   0.100
231	   0.100
232	   0.100
233	   0.100
234	   0.100
235	   0.100
236	   0.100
237	   0.100
238	   0.100
239	   0.100
240	   0.100
241	   0.100
242	   0.100
243	   0.100
244	   0.100
245	   0.100
246	   0.100
247	   0.100
248	   0.100
249	   0.100
250	   0.200
251	   0.200
252	   0.200
253	   0.200
254	   0.200
255	   0.200
256	   0.200
257	   0.200
258	   0.200
259	   0.200
260	   0.200
261	   0.200
262	   0.200
263	   0.200
264	   0.200
265	   0.200
266	   0.200
267	   0.200
268	   0.200
269	   0.200
270	   0.200
271	   0.200
272	   0.200
273	   0.200
274	   0.200
275	   0.200
276	   0.200
277	   0.200
278	   0.200
279	   0.200
280	   0.200
281	   0.200
282	   0.200
283	   0.200
284	   0.200
285	   0.200
286	   0.200
287	   0.200
288	   0.200
289	   0.200
290	   0.200
291	   0.200
292	   0.200
293	   0.200
294	   0.200
295	   0.200
296	   0.200
297	   0.200
298	   0.200
299	   0.200
300	   0.200
301	   0.200
302	   0.200
303	   0.200
304	   0.200
305	   0.200
306	   0.200
307	   0.200
308	   0.200
309	   0.200
310	   0.200
311	   0.200
312	   0.200
313	   0.200
314	   0.200
315	   0.200
316	   0.200
317	   0.200
318	   0.200
319	   0.200
320	   0.200
321	   0.200
322	   0.200
323	   0.200
324	   0.200
325	   0.200
326	   0.200
327	   0.200
328	   0.200
329	   0.200
330	   0.200
331	   0.200
332	   0.200
333	   0.200
334	   0.000
335	   0.000
336	   0.000
337	   0.000
338	   0.000
339	   0.000
340	   0.000
341	   0.000
342	   0.000
343	   0.000
344	   0.000
345	   0.000
346	   0.000
347	   0.000
348	   0.000
349	   0.000
350	   0.000
351	   0.000
352	   0.000
353	   0.000
354	   0.000
355	   0.000
356	   0.000
357	   0.000
358	   0.000
359	   0.000
360	   0.000
361	   0.000
362	   0.000
363	   0.000
364	   0.000
365	   0.000
